Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sugarcane,1997,Whole Year ,West Bengal,25797.0,1818700,1852.9,2455100.49,7997.07,70.50044578826996
Sunflower,1997,Whole Year ,West Bengal,278.0,1,1852.9,26457.26,86.18,0.0035971223021582736
Turmeric,1997,Whole Year ,West Bengal,12481.0,23556,1852.9,1187816.77,3869.11,1.8873487701305984
Urad,1997,Kharif     ,West Bengal,69271.0,44480,1852.9,6592521.07,21474.01,0.6421157482929364
Urad,1997,Rabi       ,West Bengal,16694.0,10553,1852.9,1588767.98,5175.14,0.6321432850125793
Wheat,1997,Rabi       ,West Bengal,367374.0,810480,1852.9,34962983.58,113885.94,2.206144147381143
Arecanut,1998,Kharif     ,Puducherry,66.0,23,1434.5875,6520.8,19.14,0.3484848484848485
Bajra,1998,Kharif     ,Puducherry,149.0,324,1434.5875,14721.2,43.21,2.174496644295302
Black pepper,1998,Kharif     ,Puducherry,12.0,7,1434.5875,1185.6,3.48,0.5833333333333334
Coriander,1998,Kharif     ,Puducherry,2.0,1,1434.5875,197.6,0.58,0.5
Cotton(lint),1998,Summer     ,Puducherry,453.0,372,1434.5875,44756.4,131.37,0.8211920529801324
Dry chillies,1998,Kharif     ,Puducherry,8.0,23,1434.5875,790.4,2.32,2.875
Groundnut,1998,Rabi       ,Puducherry,1046.0,2062,1434.5875,103344.8,303.34,1.97131931166348
Onion,1998,Kharif     ,Puducherry,26.0,429,1434.5875,2568.8,7.54,16.5
Ragi,1998,Kharif     ,Puducherry,112.0,366,1434.5875,11065.6,32.48,3.267857142857143
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.329221435793731
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.164601389585273
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.6002449265220435
Sesamum,1998,Kharif     ,Puducherry,147.0,120,1434.5875,14523.6,42.63,0.8163265306122449
Small millets,1998,Kharif     ,Puducherry,4.0,3,1434.5875,395.2,1.16,0.75
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369,1434.5875,267748.0,785.9,85.7450184501845
Tapioca,1998,Kharif     ,Puducherry,649.0,19110,1434.5875,64121.2,188.21,29.445300462249616
Arecanut,1998,Whole Year ,Assam,74457.0,55355,2354.4,7356351.6,21592.53,0.7434492391581718
Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389,2354.4,756511.6,2220.53,0.703800444038135
Banana,1998,Whole Year ,Assam,41885.0,581884,2354.4,4138238.0,12146.65,13.892419720663723
Castor seed,1998,Kharif     ,Assam,1728.0,708,2354.4,170726.4,501.12,0.4097222222222222
Coconut ,1998,Whole Year ,Assam,20166.0,149866000,2354.4,1992400.8,5848.14,7431.617574134682
Cotton(lint),1998,Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.08,0.45460048426150124
Dry chillies,1998,Whole Year ,Assam,14724.0,9690,2354.4,1454731.2,4269.96,0.6581092094539527
Gram,1998,Rabi       ,Assam,3002.0,1503,2354.4,296597.6,870.58,0.5006662225183212
Jute,1998,Kharif     ,Assam,78702.0,687173,2354.4,7775757.6,22823.58,8.731328301695001
Linseed,1998,Rabi       ,Assam,10222.0,5212,2354.4,1009933.6,2964.38,0.5098806495793387
Maize,1998,Kharif     ,Assam,19810.0,13965,2354.4,1957228.0,5744.9,0.7049469964664311
Mesta,1998,Kharif     ,Assam,5260.0,25623,2354.4,519688.0,1525.4,4.871292775665399
Niger seed,1998,Kharif     ,Assam,8753.0,4478,2354.4,864796.4,2538.37,0.5115960242202673
Onion,1998,Whole Year ,Assam,8083.0,18341,2354.4,798600.4,2344.07,2.269083261165409
Other  Rabi pulses,1998,Rabi       ,Assam,116141.0,62330,2354.4,11474730.8,33680.89,0.5366752481897005
Potato,1998,Whole Year ,Assam,76958.0,611077,2354.4,7603450.4,22317.82,7.940396060188674
Rapeseed &Mustard,1998,Rabi       ,Assam,288829.0,135631,2354.4,28536305.2,83760.41,0.4695892725453469
Rice,1998,Autumn     ,Assam,594979.0,520605,2354.4,58783925.2,172543.91,0.8749972688111681
Rice,1998,Summer     ,Assam,223913.0,446114,2354.4,22122604.4,64934.77,1.992354173272655
Rice,1998,Winter     ,Assam,1635230.0,2288114,2354.4,161560724.0,474216.7,1.3992612659992785
Sesamum,1998,Kharif     ,Assam,15940.0,8210,2354.4,1574872.0,4622.6,0.5150564617314931
Small millets,1998,Kharif     ,Assam,10547.0,5450,2354.4,1042043.6,3058.63,0.5167346164786195
Sugarcane,1998,Whole Year ,Assam,30571.0,1223578,2354.4,3020414.8,8865.59,40.02414052533447
Sweet potato,1998,Whole Year ,Assam,9433.0,32437,2354.4,931980.4,2735.57,3.4386727446199514
Tapioca,1998,Whole Year ,Assam,2798.0,13261,2354.4,276442.4,811.42,4.739456754824875
Tobacco,1998,Whole Year ,Assam,1465.0,732,2354.4,144742.0,424.85,0.49965870307167237
Turmeric,1998,Whole Year ,Assam,10729.0,7416,2354.4,1060025.2,3111.41,0.6912107372541709
Wheat,1998,Rabi       ,Assam,89591.0,90509,2354.4,8851590.8,25981.39,1.0102465649451395
Arecanut,1998,Whole Year ,Goa,1500.0,1820,2964.9,148200.0,435.0,1.2133333333333334
Banana,1998,Whole Year ,Goa,1900.0,14400,2964.9,187720.0,551.0,7.578947368421052
Black pepper,1998,Whole Year ,Goa,250.0,70,2964.9,24700.0,72.5,0.28
Cashewnut,1998,Whole Year ,Goa,52875.0,15000,2964.9,5224050.0,15333.75,0.28368794326241137
Coconut ,1998,Whole Year ,Goa,24858.0,121000000,2964.9,2455970.4,7208.82,4867.648242014643
Groundnut,1998,Kharif     ,Goa,350.0,412,2964.9,34580.0,101.5,1.177142857142857
Groundnut,1998,Rabi       ,Goa,1048.0,2124,2964.9,103542.4,303.92,2.0267175572519083
Other  Rabi pulses,1998,Rabi       ,Goa,8671.0,9220,2964.9,856694.8,2514.59,1.063314496597855
Other Kharif pulses,1998,Kharif     ,Goa,1200.0,324,2964.9,118560.0,348.0,0.27
Ragi,1998,Kharif     ,Goa,2500.0,2476,2964.9,247000.0,725.0,0.9904
Rice,1998,Kharif     ,Goa,41000.0,104249,2964.9,4050800.0,11890.0,2.542658536585366
Rice,1998,Rabi       ,Goa,15439.0,46925,2964.9,1525373.2,4477.31,3.039380788911199
Sugarcane,1998,Whole Year ,Goa,1320.0,64000,2964.9,130416.0,382.8,48.484848484848484
Arecanut,1998,Whole Year ,Karnataka,98047.0,648365,1260.8,9687043.6,28433.63,6.612797943843259
Arhar/Tur,1998,Kharif     ,Karnataka,475396.0,221453,1260.8,46969124.8,137864.84,0.46582848824979595
Bajra,1998,Kharif     ,Karnataka,415816.0,282231,1260.8,41082620.8,120586.64,0.678740115820459
Bajra,1998,Rabi       ,Karnataka,451.0,536,1260.8,44558.8,130.79,1.188470066518847
Bajra,1998,Summer     ,Karnataka,846.0,498,1260.8,83584.8,245.34,0.5886524822695035
Black pepper,1998,Whole Year ,Karnataka,4387.0,10342,1260.8,433435.6,1272.23,2.357419648962845
Cardamom,1998,Whole Year ,Karnataka,20218.0,1153,1260.8,1997538.4,5863.22,0.057028390543080426
Castor seed,1998,Kharif     ,Karnataka,27246.0,23245,1260.8,2691904.8,7901.34,0.8531527563679072
Coconut ,1998,Whole Year ,Karnataka,310399.0,1611530000,1260.8,30667421.2,90015.71,5191.801519979123
Coriander,1998,Whole Year ,Karnataka,17935.0,2982,1260.8,1771978.0,5201.15,0.16626707555059939
Cotton(lint),1998,Kharif     ,Karnataka,636495.0,976876,1260.8,62885706.0,184583.55,1.5347740359311541
Dry chillies,1998,Whole Year ,Karnataka,170319.0,146498,1260.8,16827517.2,49392.51,0.8601389157991768
Garlic,1998,Whole Year ,Karnataka,3574.0,3034,1260.8,353111.2,1036.46,0.8489087856743145
Ginger,1998,Kharif     ,Karnataka,3896.0,51169,1260.8,384924.8,1129.84,13.133726899383984
